Date|Open|High|Low|Close|Adj Close|Volume|Stock Return
2018-07-05| 104.13 | 104.38 | 103.53 | 103.72 | 100.680382 | 10,723,400 | 0.006481 
2018-07-06| 103.12 | 104.50 | 102.20 | 104.06 | 101.010414 | 12,173,700 | 0.003273 
2018-07-09| 104.71 | 107.46 | 104.71 | 107.28 | 104.136040 | 13,900,800 | 0.030475 
2018-07-10| 108.02 | 108.40 | 106.53 | 106.62 | 103.495392 | 14,575,900 | (0.006171)
2018-07-11| 106.31 | 107.06 | 106.21 | 106.39 | 103.272133 | 10,186,500 | (0.002160)
2018-07-12| 107.42 | 107.56 | 105.97 | 106.85 | 103.718651 | 12,456,800 | 0.004314 
2018-07-13| 107.30 | 107.80 | 105.14 | 106.36 | 103.243019 | 21,289,100 | (0.004596)
2018-07-16| 107.05 | 110.77 | 106.98 | 110.58 | 107.339340 | 24,662,600 | 0.038910 
2018-07-17| 110.69 | 110.93 | 109.75 | 110.50 | 107.261688 | 14,821,900 | (0.000724)
2018-07-18| 110.42 | 112.12 | 110.20 | 111.53 | 108.261497 | 14,244,900 | 0.009278 
2018-07-19| 111.06 | 111.09 | 109.73 | 109.89 | 106.669556 | 16,775,300 | (0.014814)
2018-07-20| 110.00 | 111.74 | 109.78 | 111.28 | 108.018822 | 13,578,100 | 0.012570 
2018-07-23| 111.06 | 114.24 | 110.93 | 113.35 | 110.028160 | 18,140,000 | 0.018431 
2018-07-24| 113.55 | 114.78 | 113.42 | 114.15 | 110.804726 | 14,000,400 | 0.007033 
2018-07-25| 113.88 | 115.52 | 113.38 | 115.18 | 111.804543 | 13,329,100 | 0.008983 
2018-07-26| 115.42 | 115.59 | 114.58 | 114.85 | 111.484207 | 11,897,800 | (0.002869)
2018-07-27| 115.18 | 116.30 | 114.81 | 116.03 | 112.629623 | 12,802,700 | 0.010222 
2018-07-30| 116.28 | 117.61 | 116.06 | 116.73 | 113.309113 | 13,411,600 | 0.006015 
2018-07-31| 117.08 | 117.08 | 114.82 | 114.95 | 111.581276 | 15,843,800 | (0.015366)
2018-08-01| 115.75 | 116.69 | 115.28 | 115.66 | 112.270470 | 13,531,600 | 0.006158 
2018-08-02| 114.57 | 116.25 | 114.33 | 116.15 | 112.746109 | 11,058,100 | 0.004228 
2018-08-03| 116.00 | 117.13 | 115.94 | 117.09 | 113.658554 | 11,016,100 | 0.008060 
2018-08-06| 116.79 | 117.53 | 116.18 | 117.12 | 113.687683 | 9,857,400 | 0.000256 
2018-08-07| 117.74 | 118.29 | 117.33 | 117.55 | 114.105087 | 10,562,100 | 0.003665 
2018-08-08| 117.33 | 118.27 | 117.28 | 117.79 | 114.338051 | 8,997,100 | 0.002040 
2018-08-09| 117.51 | 117.72 | 116.70 | 116.88 | 113.454704 | 9,694,200 | (0.007756)
2018-08-10| 115.50 | 115.95 | 114.68 | 115.73 | 112.338417 | 12,630,600 | (0.009888)
2018-08-13| 115.56 | 115.88 | 113.82 | 113.89 | 110.552330 | 10,336,300 | (0.016027)
2018-08-14| 114.27 | 115.04 | 113.65 | 114.65 | 111.290070 | 10,597,600 | 0.006651 
2018-08-15| 113.82 | 114.33 | 112.97 | 113.70 | 110.367912 | 10,152,100 | (0.008321)
2018-08-16| 114.35 | 115.31 | 114.30 | 114.77 | 111.406548 | 10,118,600 | 0.009367 
2018-08-17| 114.64 | 115.07 | 114.30 | 114.77 | 111.406548 | 8,505,100 | -   
2018-08-20| 114.59 | 115.05 | 114.11 | 114.62 | 111.260948 | 8,618,700 | (0.001308)
2018-08-21| 115.37 | 116.39 | 114.88 | 115.32 | 111.940422 | 10,976,700 | 0.006088 
2018-08-22| 115.31 | 115.41 | 114.78 | 114.97 | 111.600693 | 8,314,700 | (0.003040)
2018-08-23| 114.96 | 115.15 | 114.43 | 114.73 | 111.367729 | 9,265,400 | (0.002090)
2018-08-24| 114.98 | 115.22 | 114.45 | 114.68 | 111.319183 | 8,845,700 | (0.000436)
2018-08-27| 115.22 | 117.28 | 115.17 | 116.71 | 113.289696 | 13,768,000 | 0.017547 
2018-08-28| 117.00 | 117.03 | 115.97 | 116.14 | 112.736397 | 8,302,600 | (0.004896)
2018-08-29| 116.35 | 116.37 | 115.36 | 115.76 | 112.367538 | 7,221,700 | (0.003277)
2018-08-30| 115.59 | 116.04 | 114.98 | 115.19 | 111.814247 | 8,991,800 | (0.004936)
2018-08-31| 114.83 | 114.84 | 113.82 | 114.58 | 111.222122 | 13,065,700 | (0.005310)
2018-09-04| 114.34 | 115.24 | 113.63 | 115.15 | 111.775421 | 10,174,200 | 0.004962 
2018-09-05| 115.00 | 115.70 | 114.25 | 114.59 | 111.231819 | 11,462,400 | (0.004875)
2018-09-06| 114.50 | 114.70 | 113.50 | 114.10 | 110.756180 | 9,877,600 | (0.004285)
2018-09-07| 114.50 | 114.77 | 113.63 | 114.32 | 110.969734 | 10,955,600 | 0.001926 
2018-09-10| 114.85 | 114.97 | 113.66 | 113.71 | 110.377617 | 8,276,900 | (0.005350)
2018-09-11| 113.54 | 114.58 | 113.18 | 114.43 | 111.076515 | 9,333,800 | 0.006312 
2018-09-12| 114.25 | 114.88 | 112.85 | 113.08 | 109.766075 | 10,800,800 | (0.011868)
2018-09-13| 113.37 | 114.13 | 112.67 | 113.52 | 110.193184 | 12,470,800 | 0.003884 
2018-09-14| 113.81 | 114.49 | 113.23 | 113.50 | 110.173767 | 10,337,900 | (0.000176)
2018-09-17| 113.79 | 114.43 | 113.30 | 113.84 | 110.503807 | 9,561,300 | 0.002991 
2018-09-18| 114.33 | 114.66 | 113.56 | 114.30 | 110.950317 | 7,944,200 | 0.004033 
2018-09-19| 114.44 | 118.06 | 114.44 | 117.62 | 114.173035 | 16,052,800 | 0.028633 
2018-09-20| 118.50 | 119.24 | 118.08 | 118.63 | 115.153419 | 15,590,000 | 0.008550 
2018-09-21| 119.13 | 119.23 | 117.74 | 117.85 | 114.396286 | 24,788,200 | (0.006597)
2018-09-24| 117.76 | 118.46 | 116.43 | 116.72 | 113.299400 | 12,492,500 | (0.009635)
2018-09-25| 117.04 | 117.97 | 116.32 | 116.39 | 112.979080 | 9,308,300 | (0.002831)
2018-09-26| 116.75 | 116.87 | 114.66 | 115.02 | 111.649223 | 14,023,600 | (0.011841)
2018-09-27| 115.42 | 115.76 | 114.16 | 114.52 | 111.163872 | 13,283,000 | (0.004357)
2018-09-28| 113.65 | 114.24 | 112.52 | 112.84 | 109.533104 | 15,815,100 | (0.014779)
2018-10-01| 113.37 | 114.61 | 113.04 | 113.50 | 110.173767 | 10,146,300 | 0.005832 
2018-10-02| 113.36 | 114.12 | 112.81 | 113.97 | 110.629990 | 13,753,100 | 0.004132 
2018-10-03| 114.94 | 115.66 | 114.48 | 115.04 | 111.668640 | 17,142,000 | 0.009345 
2018-10-04| 114.55 | 116.81 | 114.21 | 115.27 | 112.675446 | 16,357,400 | 0.008976 
2018-10-05| 115.83 | 116.10 | 114.02 | 114.62 | 112.040085 | 13,777,600 | (0.005655)
2018-10-08| 114.25 | 115.78 | 113.35 | 115.32 | 112.724319 | 14,370,900 | 0.006088 
2018-10-09| 114.67 | 115.03 | 113.67 | 114.52 | 111.942329 | 14,069,500 | (0.006961)
2018-10-10| 114.70 | 114.95 | 111.47 | 111.47 | 108.960983 | 23,086,400 | (0.026994)
2018-10-11| 110.97 | 111.47 | 107.38 | 108.13 | 105.696159 | 33,705,600 | (0.030421)
2018-10-12| 110.37 | 110.83 | 105.60 | 106.95 | 104.542717 | 32,075,700 | (0.010973)
2018-10-15| 107.20 | 108.85 | 106.32 | 106.34 | 103.946442 | 18,903,200 | (0.005720)
2018-10-16| 107.16 | 108.78 | 106.73 | 108.62 | 106.175133 | 19,302,800 | 0.021214 
